City,State,Portal_URL,DatePortalAccessed,Software,TotalDataSetsAvailable,NotesDataSetsAvailable,CountVettedPublicLibData,TypePLDataAvailable,LibraryDataCategories,DateLibDataLastUpdated,Notes,2017OpenDataCensusScore
Denver,CO,https://www.denvergov.org/opendata,2019-12-16,Other,243,,1,Library patronage and circulation,"CatalogAndCirculation,Patrons,FacilitiesAndGeospatial",2019-12-16,,815
Detroit,MI,https://data.detroitmi.gov/,2019-12-16,Arcgis,160,Restricted to Data,1,Detroit public libraries,FacilitiesAndGeospatial,2018-12-10,,515
Durham,NC,https://live-durhamnc.opendata.arcgis.com/,2019-12-16,Arcgis,177,Restricted to Data,24,"Circulation, Visitors, Programs, Technology usage, Children collection, DVD collection, Teen collection, Adult collection, Public meeting attendance, Spanish language usage, Adult programs, ","CatalogAndCirculation,Patrons,FacilitiesAndGeospatial,EventsAndOutreach,TechnologyOfferings,Financial",2019-12-16,,640
El Segundo,CA,,,,,,,,,,No open data website found,370
Evanston,IL,https://data.cityofevanston.org/,2019-12-16,Socrata,166,Restricted to type: datasets,0,,,,,0
Falls Church,VA,http://opendata-fallschurch.opendata.arcgis.com/,2019-12-16,Arcgis,30,Restricted to Data,0,,,,,290
Fayetteville,NC,http://data.fayettevillenc.gov/,2019-12-16,Arcgis,27,,0,,,,Older version of arcgis no limiting to data,N/A
Ferndale ,MI,http://data.ferndalemi.gov/,2019-12-16,Arcgis,653,Restricted to Data,2,"Detroit Public Libraries, Public Libraries",FacilitiesAndGeospatial,2018-12-10,,425
Fort Lauderdale,FL,http://data-fortlauderdale.opendata.arcgis.com/,2019-12-16,Arcgis ,97,Restricted to Data,1,Libraries-Reference data,FacilitiesAndGeospatial,2019-05-01,,595
Gainesville,FL,https://data.cityofgainesville.org/,2019-12-16,Socrata,43,Restricted to type: datasets,0,,,,,300
Gilbert,AZ,https://data.gilbertaz.gov/,2019-12-16,Arcgis,35,Restricted to Data,0,,,,,N/A
Glendale,CA,,,,,,,,,,No open data website found,680
Grand Rapids,MI,http://grdata-grandrapids.opendata.arcgis.com/,2019-12-16,Arcgis,56,Restricted to Data,0,,,,,450
Greensboro,NC,https://data.greensboro-nc.gov/,2019-12-16,Socrata,16,Restricted to type: datasets,0,,,,,N/A
Hampton,VA,https://data.hampton.gov/,2019-12-16,Socrata,24,Restricted to type: datasets,0,,,,,130
Hartford,CT,https://data.hartford.gov/,2019-12-16,Socrata,621,Restricted to type: datasets,0,,,,,1100
Helena,MT,https://gisdata-helenamtmaps.opendata.arcgis.com/,2019-12-16,Arcgis,40,Restricted to Data,0,,,,Combination of county & city data,N/A
Honolulu,HI,https://data.honolulu.gov/,2019-12-16,Socrata,39,Restricted to type: datasets,0,,,,Combination of county & city data,35
Houston,TX,http://data.houstontx.gov/,2019-12-16,CKAN,247,,1,Houston Public Library Branches,FacilitiesAndGeospatial,2017-07-27,,235
Jacksonville,FL,,,,,,,,,,Could only find sherriff's open data portal: http://transparency.jaxsheriff.org/,195
Jersey City,NJ,https://data.jerseycitynj.gov/,2019-12-16,Opendatasoft,371,,1,Library and school map,FacilitiesAndGeospatial,2018-12-19,,435
Johns Creek,GA,https://datahub.johnscreekga.gov/,2019-12-16,Arcgis,131,Restricted to Data,0,,,,,1335
Kansas City,KS,http://yourdata.wycokck.org/,2019-12-16,Arcgis,39,Restricted to Data,0,,,,Combination of county & city data,N/A
Kansas City,MO,https://data.kcmo.org/,2019-12-16,Socrata,234,Restricted to type: datasets,0,,,,,1290
Key Biscayne,FL,,,,,,,,,,No open data website found,0
Knoxville,TN,http://knoxvilletn.gov/government/opendata,2019-12-16,Other,19,,0,,,,,N/A
Las Vegas,NV,https://opendataportal-lasvegas.opendata.arcgis.com/,2019-12-16,Arcgis,102,Restricted to Data,0,,,,,1830
